standard_location_name,standard_polity_id,abolition_year,reinstatement_year
"",0,0,0
Preußen/Brandenburg,202,1811,0
Preußen/Jülich-Kleve-Berg,203,1795,0
Preußen/Niederrhein,204,1798,0
Preußen/Pommern,205,1811,0
Preußen/Westfalen,206,1809,0
Preußen/Posen,207,1811,0
Preußen/Westpreußen,208,1811,0
Preußen/Ostpreußen,209,1811,0
Preußen/Schlesien (Preußen),210,1811,0
Preußen/Sachsen,211,1811,0
Preußen/Rheinprovinz,230,1806,0
Preußen/Preußen,231,1811,0
Baden,300,1862,0
Württemberg,400,1862,0
Hessen-Darmstadt,500,1808,1816
Hessen-Darmstadt/Starkenburg,533,1808,1816
Hessen-Darmstadt/Oberhessen (H.-Darmstadt),534,1795,1816
Hessen-Darmstadt/Rheinhessen,535,1795,1816
Hohenzollern-Sigmaringen,700,0,0
Bayern,800,1862,0
Bayern/Rheinland,801,1795,0
Hannover,900,1808,1815
Sachsen,1000,1862,0
Oldenburg,1100,0,0
Bremen,1200,0,0
Lübeck,1300,0,0
Hamburg,1400,0,0
Lauenburg,1500,0,0
Holstein,1600,1867,0
Schleswig,1700,1867,0
Mecklenburg-Schwerin,1800,1869,0
Mecklenburg-Strelitz,1900,0,0
Anhalt-Bernburg,2100,0,0
Anhalt-Dessau,2200,0,0
Anhalt-Köthen,2300,0,0
Hohenzollern-Hechingen,2400,0,0
Hessen-Kassel,2500,1808,1816
Nassau,2600,1219,0
Hessen-Homburg,2700,1808,1816
Waldeck,2800,0,0
Frankfurt,2900,0,0
Braunschweig,3000,0,1815
Lippe-Detmold,3100,0,0
Schaumburg-Lippe,3200,0,0
Sachsen-Hildburghausen,3300,0,0
Sachsen-Meiningen,3400,0,0
Sachsen-Gotha-Altenburg,3500,0,0
Sachsen-Coburg-Saalfeld,3600,0,0
Sachsen-Weimar-Eisenach,3700,0,0
Schwarzburg-Sondershausen,3800,0,0
Schwarzburg-Rudolstadt,3900,0,0
Reuß ältere Linie (Reuß-Greiz),5100,0,0
Reuß-Ebersdorf,5300,0,0
Reuß-Schleiz,5400,0,0
Reuß-Lobenstein und Ebersdorf,6100,0,0
Sachsen-Altenburg,6200,0,0
Sachsen-Coburg und Gotha,6300,0,0
Reuß-Gera,6400,0,0
Reuß-Gera,6500,0,0
Anhalt-Köthen,6700,0,0
