source_page,year_helper
110,1799
112,1801
113,1801
115,1802
118,1803
120,1804
121,1805
123,1806
125,1807
127,1808
129,1809
132,1810
135,1811
137,1812
139,1813
141,1815
142,1816
144,1817
146,1818
148,1819
150,1820
153,1821
155,1822
157,1823
159,1824
163,1825
166,1826
175,1827
182,1828
189,1829
195,1830
202,1831
207,1832
213,1833
219,1834
224,1835
229,1836
235,1837
240,1838
246,1839
252,1840
257,1841
262,1842
266,1843
271,1844
276,1845
282,1846
288,1847
294,1848
302,1849
